,Array / String,,Master,No Idea,Note,169,,
88,Merge Sorted Array,Easy,,,,Mar-21,,
80,Remove Duplicates from Sorted Array II,Medium,,,,Mar-21,,
27,Remove Element,Easy,,,Two pointer,Mar-25,,
26,Remove Duplicates from Sorted Array,Easy,,,,Mar-25,,
189,Rotate Array,Medium,,,Very unique solution. Reverse and analyze,,,
121,Best Time to Buy and Sell Stock,Easy,1,,,Apr-04,,
122,Best Time to Buy and Sell Stock II,Medium,,,Understand the graph better. Buying then selling is always more profit,Apr-04,,
52,Jump Game,Medium,,,Setting new goals each iteration,Apr-16,,
47,Jump Game II,Medium,,,Getting possible furtherest jump,Apr-16,,
274,H Index,Medium,,,"When array is sorted, always think about log(N)",Apr-18,,
380,Insert Delete GetRandom O(1),Medium,,,,Apr-18,,
,,,,,,,,
,Two Pointers,,,,,,,
125,Valid Palindrome,Easy,1,,,Mar-21,Apr-09,May-24
167,Two Sum II - Input Array Is Sorted,Medium,1,,,Mar-21,,
11,Container with Most Water,Medium,1,,,Mar-25,,
15,3Sum,Medium,,,"One then l,r pointer to match the target",Apr-04,,
,,,,,,,,
,,,,,,,,
,Sliding Window,,,,,,,
209,Minimum Size Subarray Sum,Medium,,,,Mar-21,,
3,Longest Substring without Repeating Characters,Medium,,,Sliding window… think about using while loop,Mar-25,,
,,,,,,,,
,Matrix,,,,,,,
36,Valid Sudoku,Medium,,,,Mar-21,,
54,Spiral Matrix,Medium,1,,Row start & end. Col start & end. Think about when to break out from while loop,Mar-26,Apr-04,
48,Rotate Image,Medium,,,Only rotate same position along rotation values at a time,Apr-04,,
73,Set Matrix Zeroes,Medium,1,,Two pass,May-21,,
,,,,,,,,
,Hashmap,,,,,,,
383,Ransom Note,Easy,1,,,Mar-21,Apr-09,
242,Valid Anagrams,Easy,1,,,May-21,,
49,Group Anagrams,Medium,,,Tuple as key value. Create 26 counter list then use it as key,Mar-22,May-21,
205,Isomorphic Strings,Easy,,,Two maps and detect for duplicate and mismatch,Apr-04,,
,,,,,,,,
,Intervals,,,,,,,
228,Summary Ranges,Easy,1,,Think about when to move left and right,Mar-22,,
56,Merge Intervals,Medium,,,Handle the last iteration,Mar-22,Apr-09,
57,Insert Interval,Medium,,,Handle the last iteration,Mar-26,,
452,Minimum Number of Arrows to Burst Balloons,Medium,1,,"Last iteration, there is a ballon left to pop",Apr-05,,
,,,,,,,,
,Stack,,,,,,,
20,Valid Parentheses,Easy,,,,Mar-22,May-21,
71,Simplify Path,Medium,1,,,Mar-22,Apr-05,
155,Min Stack,Medium,,,Consider each node in the stack having a minimum value. Use 2 stacks,Mar-26,May-21,
150,Evaluate Reverse Polish Notation,Medium,1,,,Mar-26,,
,,,,,,,,
,,,,,,,,
,Linked List,,,,,,,
141,Linked List Cycle,Easy,1,,Floyd Cycle Detection,Mar-23,Apr-05,
2,Add Two Numbers,Medium,1,,Include carry,Mar-23,May-21,
138,Copy List with Random Pointer,Medium,,,Linked list is hashable and can be used as key. None:None technique,Mar-23,Apr-05,
92,Reverse Linked List II,Medium,1,,Find left start then reverse only x amount. Understand how reverse LL works,Mar-26,Apr-05,May-21
19,Remove Nth Node From End of List,Medium,,,Delay,Mar-26,,
206,Reverse Linked List,Easy,,,Memorize the sequence,Apr-05,,
83,Remove Duplicate from Sorted List ,Easy,1,,Hashmap,Apr-05,,
82,Remove Duplicate from Sorted List II,Medium,1,,Hashmap and Two iterations,Apr-05,,
21,Merge Two Sorted List,Easy,1,,,May-21,,
,,,,,,,,
,Binary Tree General,,,,,,,
104,Maximum Depth of Binary Tree,Easy,,,DFS algorithm with counter,Mar-23,May-30,
100,Same Tree,Easy,,,,Mar-23,,
105,Construct Binary Tree from Preorder and Inorder,Medium,,,,Mar-23,Apr-22,
106,Construct Binary Tree from Inorder and Postorder,Medium,,,,Mar-23,Apr-22,
112,Path Sum,Easy,,1,Recursion is hard. Look at how base case will eventually bubble up,Mar-26,Apr-05,
117,Populating Next Right Pointers in Each Node II,Medium,1,,BFS level detection then iterate through the list,Mar-27,May-21,
102,Binary Tree Level Order Traversal,Medium,1,,Memorize BFS level detection algo,Mar-27,May-21,
103,Binary Tree Zigzag Level Order Traversal,Medium,1,,Level detection with toggle True/False,Mar-27,May-30,
114,Flatten Binary Tree to Linked List,Medium,,,Stick it in then return the tail.,Apr-06,,
199,Binary Tree Right Side View,Medium,,,BFS level detection then only save right-most value,Apr-06,,
637,Average of Levels in Binary Tree,Easy,1,,,Apr-06,,
129,Sum Root to Leaf Numbers,Medium,1,,DFS accumulator,Apr-09,,
94,Binary Tree Inorder Traversal,Easy,,,Iterative Apporach,Apr-21,,
,,,,,,,,
,BST,,,,,,,
530,Minimum Absolute Difference in BST,Easy,,,Inorder traverse than compare SORTED list,Mar-23,Apr-06,
230,Kth Smallest Element in a BST,Medium,1,,Inorder traverse and use counter,Mar-23,Apr-06,May-30
98,Validate Binary Searh Tree,Medium,,,Propping down the L and R to compare curr node value,Mar-27,Apr-06,
173,Binary Search Tree Iterator,Medium,,1,Use stack. Iterative DFS,Apr-20,May-30,
783,Minimum Distance Between Nodes,Easy,,,Inoder,Apr-29,,
,,,,,,,,
,Graph,,,,,,,
200,Number of Islands,Medium,,,BFS/DFS,Mar-24,Apr-06,May-31
130,Surrounded Regions,Medium,,,Capture except everything BUT surrounding…,Mar-25,May-31,
133,Clone Graph,Medium,,,Hashmap and search.,Mar-25,Apr-06,
909,Snakes and Ladders,Medium,,,"BFS, optimized with hashset. How to convert square# to r,c?, Accumulator",Mar-27,Apr-07,
399,Evaluate Division,Medium,,1,Need to review… this is crazy,Mar-27,,
207,Course Schedule,Medium,,1,Use hashset to detect loop. Then update the adj list to empty array,Mar-27,Apr-06,Jun-04
323,,,,,,,,
210,Course Schedule II,Medium,,1,Topological Sort. Using set is faster than looking up in a list,Apr-07,Jun-04,
433,Minimum Genetic Mutation,Medium,,,BFS mutation by mutation,Apr-08,,
743,Network Delay Time,Medium,,1,Dijkstra's algo,May-01,,
,,,,,,,,
,Trie,,,,,,,
208,Implement Trie,Medium,,1,Understand the data structure,Apr-08,,
,,,,,,,,
,Backtracking,,,,,,,
17,Letter Combinations of a Phone Number,Medium,,1,Recursive. Think about how to persist and accumulate value through recursive,Mar-27,Apr-08,Jun-05
77,Combinations,Medium,,,Recursive. Think about how to persist and accumulate value through recursive,Mar-27,Jun-05,
46,Permutations,Medium,,1,Just memorize it,Mar-28,Apr-08,Jun-05
39,Combination Sum,Medium,,1,"DFS, work on the decision tree. With or without",Mar-28,Apr-08,Jun-07
,,,,,,,,
,Divide and Conquer,,,,,,,
108,Convert Sorted Array to BST,Easy,,,DFS,Mar-28,Jun-07,
148,Sort List,Medium,,,,Jun-07,,
,,,,,,,,
,Binary Search,,,,,,,
35,Search Insert Position,Easy,,,Think about what to return when there is no found,Mar-28,Apr-08,Jun-08
74,Search a 2D Matrix,Medium,1,,Two-dimensional b-search. Row then find column,Mar-28,Apr-08,
162,Find a Peak Element,Medium,,,Binary search than compare with l and r. Start new search on larger side,Mar-28,Apr-08,
33,Search in Rotated Sorted Array,Medium,,,Investigate cases,Mar-28,Apr-18,
34,Find First and Last Position of Element in Sorted Array,Medium,,,Case table helps a lot,Mar-29,Apr-18,
540,Single Element in a Sorted Array,Medium,,,Binary search and see condition. XOR,Apr-24,,
,,,,,,,,
,Heap,,,,,,,
215,Kth Largest Element in an Array,Medium,,,Heapify(). Create a k size heap then pushpop,Mar-29,Apr-08,
373,Find K Pairs with Smallest Sums,Medium,,1,You can pop smallest tuple from heap. If you add it will auto sort,Mar-29,Apr-08,
502,IPO,Hard,,1,"Two Heaps, min and max",Apr-08,,
,,,,,,,,
,Bit Manipulation,,,,,,,
67,Add Binary,Easy,,,"Mod it by 2 for binary. Ord() - ord(""0"") to convert",Mar-29,Apr-09,
190,Reverse Bits,Easy,,,Memorize the equation,Mar-30,Apr-09,
136,Single Number,Easy,,,XOR,Mar-30,Apr-09,
191,Number of 1 Bits,Easy,,,Increment res each time it is dividable by 2,Apr-09,,
137,Single Number II,Medium,,1,What da fuck…?,Apr-09,,
,,,,,,,,
,Dynamic Programming,,,,,,,
70,Climbing Stairs,Easy,,,,Mar-30,Apr-09,
198,House Robber,Medium,,,Kinda like sliding window,Mar-30,Apr-09,
139,Word Break,Medium,,1,"Bottom up, find the base case and work from there on dp table",Mar-31,Apr-09,
322,Coin Change,Medium,,,Bottom up,Apr-02,Apr-09,
300,Longest Increasing subsequence,Medium,,,,Apr-02,Apr-18,
120,Triangle,Medium,,,Reverse pyramid,Apr-03,Apr-04,
63,Unique Path II,Medium,,,Think about using only one row for saving up memory,Apr-03,Apr-04,
97,Interleaving String,Medium,,,Use grid and additional layer technique,Apr-04,,
1143,Longest Common Subsequence,Medium,,1,Evaluate how position change on matrix. Build matrix with two words,Apr-19,,
72,Edit Distance,Medium,,1,Evalutate position change for the three cases,Apr-19,Apr-22,
221,Maximal Square,Medium,,,Evalutate what to put in each block and case table,Apr-20,,
64,Minimum Path Sum,Medium,,,Overflow technique,May-21,,
,,,,,,,,
,HackerRank,,,,,,,
,Tower Breakers,Medium,,,"Math, rather than mimic the game",Apr-13,,
,Case Cipher,Medium,,,What if it goes over 26?,Apr-13,,
,Grid Challenge,Easy,,,Grid,Apr-13,,
,Palindrome Index,Easy,,,There is only one element. Not mentioned in the question,Apr-13,,
,New Year Chaos,,,,,Apr-13,,
,Merge Sorted Linked List,,,,,Apr-13,,
,,,,,,,,
,Random,,,,,,,